username,killcount,Pet snakeling,Tanzanite mutagen,Magma mutagen,Jar of swamp,Magic fang,Serpentine visage,Tanzanite fang,Zul-andra teleport,Uncut onyx,Zulrah's scales
rumsy,803,0,0,0,2,1,2,1,408,0,65535
boobtitty,743,1,0,0,0,5,0,0,276,4,65535
Jane Lou,501,0,0,0,1,4,2,1,240,3,65535
Hookr,1752,0,0,1,3,2,6,3,900,5,65535
Gustnabbler,727,1,1,1,0,1,3,1,328,3,65535
Iron Grunn,1350,0,1,0,0,3,1,5,572,2,65535
P lum,892,0,1,0,0,2,2,3,428,0,65535
Lum Slut,0,0,0,0,0,0,0,0,0,0,0
Hexyles,838,0,0,0,0,1,1,3,380,0,65535
Oak Plank,394,0,0,0,0,1,1,1,216,3,65535
iron daddy j,541,0,0,0,0,1,1,0,196,1,65535
AmusanteAdam,668,0,0,0,0,1,0,1,308,4,65535
Belgiska,1140,0,0,0,0,4,3,2,576,2,65535
well owl be,1349,0,0,0,1,2,1,2,640,2,65535
Henniejj,1050,0,0,0,0,3,2,1,504,1,65535
GIM Luciferr,925,0,1,0,0,1,0,1,440,2,65535
I So Low,632,0,0,1,1,1,3,1,340,1,65535
She Had HIV,581,1,0,0,0,2,3,0,244,0,65535
Jayde Xo,0,0,0,0,0,0,0,0,0,0,0
PrkngLotPimp,25,0,0,0,0,0,0,0,4,0,5037
JesseJames,760,0,1,0,0,4,2,1,344,3,65535
AzzaRazza997,0,0,0,0,0,0,0,0,0,0,0
tugboatmarsh,0,0,0,0,0,0,0,0,0,0,0
